OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Hate Crime Status,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1,1,2022,5/4/2022 12:00:00 AM,5/4/2022 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Public Incitement Of Hatred,Corkery,Sector 11,West,5050300.02,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
2,2,2021,11/28/2021 12:00:00 AM,10/25/2021 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Fitzroy,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
3,3,2023,5/23/2023 12:00:00 AM,5/23/2023 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
4,4,2020,10/4/2020 12:00:00 AM,7/31/2020 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Suspected,Theft < $5000,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
5,5,2022,7/31/2022 12:00:00 AM,7/13/2022 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
6,6,2022,5/9/2022 12:00:00 AM,5/7/2022 12:00:00 AM,Saturday,Race/Ethnicity,Other race/ethnicity,Hatecrime Happened,Wilful Promotion Of Hatred,Galetta,Sector 11,West,5050301.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
7,7,2022,10/13/2022 12:00:00 AM,10/11/2022 12:00:00 AM,Tuesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
8,8,2022,11/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
9,9,2022,7/29/2022 12:00:00 AM,7/29/2022 12:00:00 AM,Friday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
10,10,2022,5/26/2022 12:00:00 AM,5/26/2022 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
11,11,2024,2/1/2024 12:00:00 AM,1/31/2024 12:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Harass Crim Stalking,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
12,12,2020,2/14/2020 12:00:00 AM,2/14/2020 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Threats Utter To Person,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
13,13,2023,9/22/2023 12:00:00 AM,9/13/2023 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Assault Under 16,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
14,14,2022,7/31/2022 12:00:00 AM,7/30/2022 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Suspected,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.11,Ward 4 - Kanata North,Cathy Curry,Criminal
15,15,2018,9/7/2018 12:00:00 AM,9/5/2018 12:00:00 AM,Wednesday,Gender,Man,Hatecrime Suspected,Mischief To Property,Constance Bay,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
16,16,2020,4/4/2020 12:00:00 AM,4/4/2020 12:00:00 AM,Saturday,Race/Ethnicity,Indigenous/Aboriginal,Hatecrime Happened,Mischief To Property,Constance Bay,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
17,17,2023,9/16/2023 12:00:00 AM,9/15/2023 12:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Hatecrime Suspected,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
18,18,2019,11/6/2019 12:00:00 AM,11/6/2019 12:00:00 AM,Wednesday,Mental or Physical Disability,Mental,Hatecrime Happened,Public Incitement Of Hatred,Constance Bay,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
19,19,2023,8/9/2023 12:00:00 AM,7/16/2023 12:00:00 AM,Sunday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Hatecrime Suspected,Dispute- Neighbour,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Non Criminal
20,20,2022,9/20/2022 12:00:00 AM,9/18/2022 12:00:00 AM,Sunday,Race/Ethnicity,South Asian,Hatecrime Suspected,Mischief To Property,Dunrobin,Sector 11,West,5050160.09,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
21,21,2022,2/25/2022 12:00:00 AM,2/25/2022 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Dispute- Disturbance,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Non Criminal
22,22,2022,9/2/2022 12:00:00 AM,7/31/2022 12:00:00 AM,Sunday,Religion,Catholic,Hatecrime Suspected,B&e Non- Res.prop/ Commercial,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
23,23,2022,12/1/2022 12:00:00 AM,10/1/2022 12:00:00 AM,Saturday,Religion,Catholic,Hatecrime Suspected,Mischief To Property,Stittsville,Sector 13,West,5050151.08,Ward 6 - Stittsville,Glen Gower,Criminal
24,24,2024,1/4/2024 12:00:00 AM,1/4/2024 12:00:00 AM,Thursday,Religion,Catholic,Hatecrime Suspected,Mischief Hate Cultrl/ Rel Prop,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
25,25,2023,10/20/2023 12:00:00 AM,10/20/2023 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
26,26,2023,10/20/2023 12:00:00 AM,10/20/2023 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
27,27,2023,8/26/2023 12:00:00 AM,8/26/2023 12:00:00 AM,Saturday,Gender,LGBTQ2+,Hatecrime Happened,Traffic Complaint -  Person,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 23 - Kanata South,Allan Hubley,Non Criminal
28,28,2022,2/3/2022 12:00:00 AM,2/2/2022 12:00:00 AM,Wednesday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
29,29,2023,4/9/2023 12:00:00 AM,4/9/2023 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Suspected,Mischief To Property,Glen Cairn - Kanata South Business Park,Sector 13,West,5050151.10,Ward 6 - Stittsville,Glen Gower,Criminal
30,30,2021,10/24/2021 12:00:00 AM,10/24/2021 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Happened,Dispute- Neighbour,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Non Criminal
31,31,2024,2/7/2024 12:00:00 AM,2/7/2024 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
32,32,2023,9/17/2023 12:00:00 AM,9/17/2023 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
33,33,2022,6/6/2022 12:00:00 AM,6/3/2022 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Suspected,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
34,34,2024,2/12/2024 12:00:00 AM,2/12/2024 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief Damage To Prop Accide,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Non Criminal
35,35,2022,3/31/2022 12:00:00 AM,3/29/2022 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Public Incitement Of Hatred,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
36,36,2022,2/8/2022 12:00:00 AM,2/5/2022 12:00:00 AM,Saturday,Race/Ethnicity,South Asian,Hatecrime Suspected,Threats Utter To Person,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
37,37,2018,7/6/2018 12:00:00 AM,7/6/2018 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
38,38,2023,6/11/2023 12:00:00 AM,6/11/2023 12:00:00 AM,Sunday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Suspected,Dispute- Neighbour,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,Ward 6 - Stittsville,Glen Gower,Non Criminal
